LGA code,LGA name,Population 2024
51710,Christmas Island,1867.0
51750,Claremont,12748.0
51820,Cockburn,135690.0
51860,Cocos (Keeling) Islands,622.0
51890,Collie,9440.0
51960,Coolgardie,3829.0
52030,Coorow,1130.0
52100,Corrigin,1043.0
52170,Cottesloe,9021.0
52240,Cranbrook,1157.0
52310,Cuballing,959.0
52380,Cue,234.0
52450,Cunderdin,1319.0
52520,Dalwallinu,1469.0
52590,Dandaragan,3935.0
52660,Dardanup,16005.0
52730,Denmark,6734.0
52800,Derby-West Kimberley,8570.0
52870,Donnybrook-Balingup,6608.0
52940,Dowerin,739.0
53010,Dumbleyung,706.0
53080,Dundas,738.0
53150,East Fremantle,8404.0
53220,East Pilbara,10525.0
53290,Esperance,14618.0
53360,Exmouth,3592.0
53430,Fremantle,36579.0
53570,Gingin,6364.0
53640,Gnowangerup,1278.0
53710,Goomalling,994.0
53780,Gosnells,141775.0
53800,Greater Geraldton,42505.0
53920,Halls Creek,4235.0
53990,Harvey,31613.0
54060,Irwin,3881.0
54130,Jerramungup,1220.0
54170,Joondalup,174154.0
54200,Kalamunda,64040.0
54280,Kalgoorlie-Boulder,31195.0
54310,Karratha,24878.0
54340,Katanning,4319.0
54410,Kellerberrin,1162.0
54480,Kent,529.0
54550,Kojonup,1974.0
54620,Kondinin,865.0
54690,Koorda,373.0
54760,Kulin,800.0
54830,Kwinana,54906.0
54900,Lake Grace,1325.0
54970,Laverton,1451.0
55040,Leonora,1745.0
55110,Mandurah,103346.0
55180,Manjimup,9536.0
55250,Meekatharra,1292.0
55320,Melville,113872.0
55390,Menzies,581.0
55460,Merredin,3347.0
55530,Mingenew,422.0
55600,Moora,2441.0
55670,Morawa,690.0
55740,Mosman Park,10338.0
55810,Mount Magnet,698.0
55880,Mount Marshall,467.0
55950,Mukinbudin,601.0
56090,Mundaring,42434.0
56160,Murchison,108.0
56230,Murray,20633.0
56300,Nannup,1700.0
56370,Narembeen,848.0
56460,Narrogin,5043.0
56580,Nedlands,25290.0
56620,Ngaanyatjarraku,1488.0
56730,Northam,12452.0
56790,Northampton,3419.0
56860,Nungarin,264.0
56930,Peppermint Grove,1793.0
57000,Perenjori,659.0
57080,Perth,34952.0
57140,Pingelly,1094.0
57210,Plantagenet,5767.0
57280,Port Hedland,17564.0
57350,Quairading,970.0
57420,Ravensthorpe,2294.0
57490,Rockingham,154956.0
57630,Sandstone,116.0
57700,Serpentine-Jarrahdale,38793.0
57770,Shark Bay,1171.0
57840,South Perth,48151.0
57910,Stirling,250869.0
57980,Subiaco,19609.0
58050,Swan,179896.0
58190,Tammin,399.0
58260,Three Springs,598.0
58330,Toodyay,5098.0
58400,Trayning,309.0
58470,Upper Gascoyne,204.0
58510,Victoria Park,42564.0
58540,Victoria Plains,835.0
58570,Vincent,41707.0
58610,Wagin,1830.0
58680,Wandering,549.0
58760,Wanneroo,238616.0
58820,Waroona,4556.0
58890,West Arthur,793.0
59030,Westonia,248.0
59100,Wickepin,713.0
59170,Williams,1069.0
59250,Wiluna,565.0
59310,Wongan-Ballidu,1347.0
59320,Woodanilling,494.0
59330,Wyalkatchem,494.0
59340,Wyndham-East Kimberley,8380.0
59350,Yalgoo,355.0
59360,Yilgarn,1215.0
59370,York,3661.0
60210,Break O'Day,7146.0
60410,Brighton,20324.0
60610,Burnie,20381.0
60810,Central Coast (Tas.),23325.0
61010,Central Highlands (Tas.),2594.0
61210,Circular Head,8288.0
61410,Clarence,63850.0
61510,Derwent Valley,11430.0
61610,Devonport,26978.0
61810,Dorset,7006.0
62010,Flinders (Tas.),940.0
62210,George Town,7367.0
62410,Glamorgan-Spring Bay,5303.0
62610,Glenorchy,50687.0
62810,Hobart,55997.0
63010,Huon Valley,19712.0
63210,Kentish,6844.0
63410,King Island,1659.0
63610,Kingborough,41479.0
63810,Latrobe (Tas.),13148.0
64010,Launceston,71533.0
64210,Meander Valley,21558.0
64610,Northern Midlands,14438.0
64810,Sorell,17864.0
65010,Southern Midlands,6953.0
65210,Tasman,2708.0
65410,Waratah-Wynyard,14892.0
65610,West Coast,4314.0
65810,West Tamar,26047.0
70200,Alice Springs,30487.0
70420,Barkly,7378.0
70540,Belyuen,167.0
70620,Central Desert,4155.0
70700,Coomalie,1418.0
71000,Darwin,88753.0
71150,Darwin Waterfront Precinct,322.0
71500,East Arnhem,8108.0
71700,Groote Archipelago,2050.0
72200,Katherine,11188.0
72300,Litchfield,24305.0
72330,MacDonnell,6841.0
72800,Palmerston,42611.0
73600,Roper Gulf,7534.0
74050,Tiwi Islands,2756.0
74550,Victoria Daly,3323.0
74560,Wagait,494.0
74660,West Arnhem,7534.0
74680,West Daly,3474.0
79399,Unincorporated NT,7986.0
89399,Unincorporated ACT,478430.0
99399,Unincorp. Other Territories,2506.0
,Total Australia,27194286.0
